Time: 661.62, Detected Patient: 2344, DetectionCount: 1
Time: 663.79, Detected Patient: 2395, DetectionCount: 1
Time: 668.81, Detected Patient: 2328, DetectionCount: 1
Time: 674.29, Detected Patient: 2413, DetectionCount: 1
Time: 674.93, Detected Patient: 2281, DetectionCount: 1
Time: 676.57, Detected Patient: 2426, DetectionCount: 1
Time: 682.15, Detected Patient: 2365, DetectionCount: 1
Time: 689.21, Detected Patient: 2503, DetectionCount: 1
Time: 691.87, Detected Patient: 2415, DetectionCount: 1
Time: 694.54, Detected Patient: 2523, DetectionCount: 1
Time: 700.04, Detected Patient: 2462, DetectionCount: 1
Time: 702.56, Detected Patient: 2540, DetectionCount: 1
Time: 708.01, Detected Patient: 2453, DetectionCount: 1
Time: 708.12, Detected Patient: 2529, DetectionCount: 1
Time: 712.30, Detected Patient: 2378, DetectionCount: 1
Time: 714.54, Detected Patient: 2487, DetectionCount: 1
Time: 728.26, Detected Patient: 2634, DetectionCount: 1
Time: 728.89, Detected Patient: 2554, DetectionCount: 1
Time: 735.55, Detected Patient: 2660, DetectionCount: 1
Time: 738.36, Detected Patient: 2620, DetectionCount: 1
Time: 740.07, Detected Patient: 2580, DetectionCount: 1
Time: 744.62, Detected Patient: 2668, DetectionCount: 1
Time: 745.58, Detected Patient: 2669, DetectionCount: 1
Time: 747.75, Detected Patient: 2614, DetectionCount: 1
Time: 749.41, Detected Patient: 2631, DetectionCount: 1
Time: 749.97, Detected Patient: 2693, DetectionCount: 1
Time: 753.50, Detected Patient: 2680, DetectionCount: 1
Time: 753.87, Detected Patient: 2733, DetectionCount: 1
Time: 758.06, Detected Patient: 2751, DetectionCount: 1
Time: 760.02, Detected Patient: 2757, DetectionCount: 1
Time: 761.01, Detected Patient: 2663, DetectionCount: 1
Time: 761.06, Detected Patient: 2752, DetectionCount: 1
Time: 762.97, Detected Patient: 2625, DetectionCount: 1
Time: 774.60, Detected Patient: 2747, DetectionCount: 1
Time: 775.28, Detected Patient: 2771, DetectionCount: 1
Time: 779.22, Detected Patient: 2595, DetectionCount: 1
Time: 779.60, Detected Patient: 2741, DetectionCount: 1
Time: 782.78, Detected Patient: 2775, DetectionCount: 1
Time: 784.13, Detected Patient: 2807, DetectionCount: 1
Time: 784.57, Detected Patient: 2847, DetectionCount: 1
Time: 786.32, Detected Patient: 2834, DetectionCount: 1
Time: 786.77, Detected Patient: 2832, DetectionCount: 1
Time: 788.83, Detected Patient: 2746, DetectionCount: 1
Time: 794.01, Detected Patient: 2805, DetectionCount: 1
Time: 795.17, Detected Patient: 2715, DetectionCount: 1
Time: 798.20, Detected Patient: 2870, DetectionCount: 1
Time: 798.89, Detected Patient: 2895, DetectionCount: 1
Time: 801.45, Detected Patient: 2783, DetectionCount: 1
Time: 803.86, Detected Patient: 2899, DetectionCount: 1
Time: 809.34, Detected Patient: 2885, DetectionCount: 1
Time: 809.98, Detected Patient: 2854, DetectionCount: 1
Time: 812.37, Detected Patient: 2876, DetectionCount: 1
Time: 824.22, Detected Patient: 2987, DetectionCount: 1
Time: 833.15, Detected Patient: 2917, DetectionCount: 1
Time: 839.21, Detected Patient: 3030, DetectionCount: 1
Time: 839.86, Detected Patient: 2992, DetectionCount: 1
Time: 840.32, Detected Patient: 3000, DetectionCount: 1
Time: 840.67, Detected Patient: 2901, DetectionCount: 1
Time: 841.14, Detected Patient: 2824, DetectionCount: 1
Time: 844.75, Detected Patient: 3057, DetectionCount: 1
Time: 852.98, Detected Patient: 3059, DetectionCount: 1
Time: 853.74, Detected Patient: 3005, DetectionCount: 1
Time: 858.72, Detected Patient: 3093, DetectionCount: 1
Time: 866.84, Detected Patient: 2985, DetectionCount: 1
Time: 867.74, Detected Patient: 2804, DetectionCount: 1
Time: 870.21, Detected Patient: 3049, DetectionCount: 1
Time: 873.65, Detected Patient: 3031, DetectionCount: 1
Time: 874.40, Detected Patient: 3097, DetectionCount: 1
Time: 874.97, Detected Patient: 3138, DetectionCount: 1
Time: 881.36, Detected Patient: 3136, DetectionCount: 1
Time: 886.40, Detected Patient: 3154, DetectionCount: 1
Time: 888.16, Detected Patient: 3200, DetectionCount: 1
Time: 888.29, Detected Patient: 3234, DetectionCount: 1
Time: 889.93, Detected Patient: 3245, DetectionCount: 1
Time: 892.63, Detected Patient: 3214, DetectionCount: 1
Time: 893.40, Detected Patient: 3178, DetectionCount: 1
Time: 894.02, Detected Patient: 3195, DetectionCount: 1
Time: 894.88, Detected Patient: 3248, DetectionCount: 1
Time: 895.27, Detected Patient: 3244, DetectionCount: 1
Time: 895.32, Detected Patient: 3233, DetectionCount: 1
Time: 896.07, Detected Patient: 3246, DetectionCount: 1
Time: 897.96, Detected Patient: 3278, DetectionCount: 1
Time: 901.38, Detected Patient: 3230, DetectionCount: 1
Time: 908.98, Detected Patient: 3281, DetectionCount: 1
Time: 910.78, Detected Patient: 3301, DetectionCount: 1
Time: 910.79, Detected Patient: 3080, DetectionCount: 1
Time: 916.51, Detected Patient: 3266, DetectionCount: 1
Time: 917.06, Detected Patient: 3347, DetectionCount: 1
Time: 920.86, Detected Patient: 3370, DetectionCount: 1
Time: 921.09, Detected Patient: 3320, DetectionCount: 1
Time: 923.08, Detected Patient: 3308, DetectionCount: 1
Time: 930.20, Detected Patient: 3331, DetectionCount: 1
Time: 932.29, Detected Patient: 3321, DetectionCount: 1
Time: 932.33, Detected Patient: 3396, DetectionCount: 1
Time: 937.34, Detected Patient: 3384, DetectionCount: 1
Time: 940.52, Detected Patient: 3385, DetectionCount: 1
Time: 941.14, Detected Patient: 3280, DetectionCount: 1
Time: 941.45, Detected Patient: 3410, DetectionCount: 1
Time: 942.52, Detected Patient: 3422, DetectionCount: 1
Time: 946.35, Detected Patient: 3419, DetectionCount: 1
Time: 950.59, Detected Patient: 3381, DetectionCount: 1
Time: 956.32, Detected Patient: 3452, DetectionCount: 1
Time: 959.34, Detected Patient: 3241, DetectionCount: 1
Time: 960.30, Detected Patient: 3439, DetectionCount: 1
Time: 969.61, Detected Patient: 3449, DetectionCount: 1
Time: 972.61, Detected Patient: 3492, DetectionCount: 1
Time: 977.36, Detected Patient: 3518, DetectionCount: 1
Time: 977.38, Detected Patient: 3477, DetectionCount: 1
Time: 978.29, Detected Patient: 3551, DetectionCount: 1
Time: 979.47, Detected Patient: 3560, DetectionCount: 1
Time: 981.05, Detected Patient: 3575, DetectionCount: 1
Time: 987.76, Detected Patient: 3523, DetectionCount: 1
Time: 988.13, Detected Patient: 3581, DetectionCount: 1
Time: 990.43, Detected Patient: 3553, DetectionCount: 1
Time: 990.46, Detected Patient: 3587, DetectionCount: 1
Time: 992.25, Detected Patient: 3573, DetectionCount: 1
Time: 994.93, Detected Patient: 3531, DetectionCount: 1
Time: 995.28, Detected Patient: 3473, DetectionCount: 1
Time: 999.30, Detected Patient: 3591, DetectionCount: 1
Time: 1007.33, Detected Patient: 3614, DetectionCount: 1
Time: 1008.13, Detected Patient: 3647, DetectionCount: 1
Time: 1009.00, Detected Patient: 3621, DetectionCount: 1
Time: 1009.99, Detected Patient: 3574, DetectionCount: 1
