"run","allowImportationsDuringBurnIn","isBatchRun","isolatePatientWhenDetected","doActiveSurveillanceAfterBurnIn","isolationEffectiveness","diseaseName","shape1","shape2","importationRate","isActiveSurveillanceAgent","beta","extraIteration","prob1","midstaySurveillanceAdherence","daysBetweenTests","simulationDurationAfterBurnIn","randomSeed","admissionSurveillanceAdherence","meanDetectionTime","avgDecolonizationTime","scale2","scale1","probSurveillanceDetection","burnInPeriod"
283,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.8,3,0.62531,0.954,7.0,5475,-929006223,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
301,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.98,3,0.62531,0.954,7.0,5475,-928956938,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
319,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.15,4,0.62531,0.954,7.0,5475,-928911779,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
337,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.33,4,0.62531,0.954,7.0,5475,-928870064,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
355,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.51,4,0.62531,0.954,7.0,5475,-928830192,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
373,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.69,4,0.62531,0.954,7.0,5475,-928791703,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
391,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.87,4,0.62531,0.954,7.0,5475,-928748044,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
14,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.13,1,0.62531,0.954,7.0,5475,-929610972,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
32,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.31,1,0.62531,0.954,7.0,5475,-929555949,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
50,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.49,1,0.62531,0.954,7.0,5475,-929514256,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
68,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.67,1,0.62531,0.954,7.0,5475,-929477346,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
86,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.85,1,0.62531,0.954,7.0,5475,-929440879,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
104,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.02,2,0.62531,0.954,7.0,5475,-929390207,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
122,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.2,2,0.62531,0.954,7.0,5475,-929383476,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
140,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.38,2,0.62531,0.954,7.0,5475,-929342605,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
158,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.56,2,0.62531,0.954,7.0,5475,-929303377,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
176,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.74,2,0.62531,0.954,7.0,5475,-929262335,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
194,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.92,2,0.62531,0.954,7.0,5475,-929214721,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
212,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.09,3,0.62531,0.954,7.0,5475,-929158521,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
230,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.27,3,0.62531,0.954,7.0,5475,-929124764,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
248,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.45,3,0.62531,0.954,7.0,5475,-929090369,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
266,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.63,3,0.62531,0.954,7.0,5475,-929057543,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
284,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.81,3,0.62531,0.954,7.0,5475,-929022448,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
302,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.99,3,0.62531,0.954,7.0,5475,-928977996,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
320,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.16,4,0.62531,0.954,7.0,5475,-928932339,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
338,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.34,4,0.62531,0.954,7.0,5475,-928887232,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
356,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.52,4,0.62531,0.954,7.0,5475,-928855519,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
374,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.7,4,0.62531,0.954,7.0,5475,-928819201,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
392,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.88,4,0.62531,0.954,7.0,5475,-928782563,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
15,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.14,1,0.62531,0.954,7.0,5475,-929611096,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
33,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.32,1,0.62531,0.954,7.0,5475,-929569173,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
51,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.5,1,0.62531,0.954,7.0,5475,-929533718,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
69,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.68,1,0.62531,0.954,7.0,5475,-929491461,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
87,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.86,1,0.62531,0.954,7.0,5475,-929452266,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
105,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.03,2,0.62531,0.954,7.0,5475,-929412989,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
123,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.21,2,0.62531,0.954,7.0,5475,-929403004,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
141,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.39,2,0.62531,0.954,7.0,5475,-929365745,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
