"run","DoActiveSurveillance","IsolationEffectiveness","DaysBetweenTests","tick","ClinicalDetections","MeanDailyPrevalence","MeanDischargePrevalence","ImportationPrevalence","NumberOfTransmissions"
231,"false",0.5,7.0,5474.0,3163,0.9253520372749237,0.9261514441842311,0.20629970372680492,34288
249,"false",0.5,7.0,5474.0,3431,0.9599838252707081,0.9631322364411944,0.2092101250381214,35496
267,"false",0.5,7.0,5474.0,3505,0.967029338255243,0.9694063926940639,0.20094239246086032,36314
285,"false",0.5,7.0,5474.0,3616,0.9768224378152719,0.9786678944137508,0.2066953316953317,35762
303,"false",0.5,7.0,5474.0,3561,0.9748954804332147,0.9824893516327496,0.1985166482562727,37512
321,"false",0.5,7.0,5474.0,2820,0.8488647584972683,0.8472806607448964,0.21360734859100108,30834
339,"false",0.5,7.0,5474.0,3215,0.9357090862470957,0.9483901515151515,0.20907079646017698,35510
357,"false",0.5,7.0,5474.0,3479,0.9629450444377099,0.9665582907570831,0.20709876543209876,35718
375,"false",0.5,7.0,5474.0,3498,0.9713750493455809,0.974779514157512,0.20348657821659982,36420
393,"false",0.5,7.0,5474.0,3505,0.9678123100587697,0.9795017344686219,0.2052896725440806,37270
16,"false",0.5,7.0,5474.0,2745,0.8137103279553937,0.8116310360293019,0.20346579025993428,30284
34,"false",0.5,7.0,5474.0,3204,0.9399343953342126,0.9450822215327335,0.2066128531511953,34544
52,"false",0.5,7.0,5474.0,3436,0.9656106812380327,0.9692401400944115,0.2058599114909202,34806
70,"false",0.5,7.0,5474.0,3500,0.9681614727689414,0.9725181411147136,0.1973724884080371,36790
88,"false",0.5,7.0,5474.0,3461,0.9727786380473069,0.9784913197111692,0.2017881917681517,37134
106,"false",0.5,7.0,5474.0,1153,0.35237648078957523,0.34685314685314683,0.20136518771331058,8242
124,"false",0.5,7.0,5474.0,3073,0.8921122425505512,0.8994805988389857,0.20780799027798877,33506
142,"false",0.5,7.0,5474.0,3243,0.9534430206832444,0.9546990171990172,0.19849554805035308,35098
160,"false",0.5,7.0,5474.0,3496,0.9705927563075096,0.9701605574068464,0.20617153229466043,35476
178,"false",0.5,7.0,5474.0,3574,0.9710878208737673,0.9766687268232386,0.21126543209876544,36178
196,"false",0.5,7.0,5474.0,3506,0.9770610054559504,0.9819889162561576,0.20283382103804096,37246
214,"false",0.5,7.0,5474.0,2370,0.7330930799360509,0.7171123821301593,0.21757257566399013,25290
232,"false",0.5,7.0,5474.0,3224,0.9386446062248013,0.9330172809298057,0.20006113403637474,34440
250,"false",0.5,7.0,5474.0,3372,0.9530011179891278,0.9611137035308758,0.20649976675478152,36304
268,"false",0.5,7.0,5474.0,3552,0.9687930269015423,0.9720568025652772,0.20533536585365852,36020
286,"false",0.5,7.0,5474.0,3575,0.9729720093782528,0.980110159118727,0.20727775218793182,36996
304,"false",0.5,7.0,5474.0,714,0.1879729132628145,0.19259599204528072,0.20747778118296045,0
322,"false",0.5,7.0,5474.0,2911,0.8556602307294806,0.8505712109672505,0.20042676421277245,31972
340,"false",0.5,7.0,5474.0,3289,0.9451607448570187,0.9529521732357065,0.2021441889372281,35064
358,"false",0.5,7.0,5474.0,3455,0.9674975728564491,0.9685162094763092,0.19672131147540983,35692
376,"false",0.5,7.0,5474.0,3403,0.965618737818461,0.9737536884609411,0.2110646211064621,36884
394,"false",0.5,7.0,5474.0,3454,0.9751047075106768,0.9798689138576779,0.19378628589361369,36856
17,"false",0.5,7.0,5474.0,2697,0.8256250068005396,0.8305616567304676,0.20410079824698701,30676
35,"false",0.5,7.0,5474.0,3328,0.9423771679807547,0.9488950276243094,0.19703749421385588,35114
53,"false",0.5,7.0,5474.0,3420,0.961281055562174,0.964797507788162,0.20755597014925373,35778
71,"false",0.5,7.0,5474.0,3635,0.9686156500077715,0.9764150943396226,0.20272599091336363,36570
89,"false",0.5,7.0,5474.0,3568,0.9796365639933585,0.9834126862233143,0.20617132330365368,36244
107,"false",0.5,7.0,5474.0,1370,0.43251604904239843,0.4201219512195122,0.21341463414634146,11404
125,"false",0.5,7.0,5474.0,3108,0.8942488700083943,0.9008072027320708,0.20123839009287925,33236
143,"false",0.5,7.0,5474.0,3437,0.9560537602637499,0.959950897652294,0.21127623716868393,35140
161,"false",0.5,7.0,5474.0,3513,0.9682513984746046,0.9697250540624035,0.19963002928934792,35800
179,"false",0.5,7.0,5474.0,3562,0.9727871551876235,0.9781538461538462,0.2091946929959889,36292
197,"false",0.5,7.0,5474.0,3576,0.9781357915383085,0.9795412275263484,0.2085586281476904,36862
215,"false",0.5,7.0,5474.0,2323,0.7477514911628322,0.7393715341959335,0.19349367869256862,26812
233,"false",0.5,7.0,5474.0,3142,0.9290599036506271,0.9362562189054726,0.20165186224092255,34430
251,"false",0.5,7.0,5474.0,3404,0.9600931567749202,0.9646582593803519,0.19925105320642847,35666
269,"false",0.5,7.0,5474.0,3499,0.9704649434263934,0.9741165530068195,0.21200866604766327,35896
287,"false",0.5,7.0,5474.0,3640,0.9708795167160709,0.9782839787395596,0.21420948315291966,37704
305,"false",0.5,7.0,5474.0,835,0.21462267791187778,0.21984285934370668,0.2064983061287342,1716
323,"false",0.5,7.0,5474.0,2913,0.8788603027378389,0.8745019920318725,0.19944852941176472,31874
341,"false",0.5,7.0,5474.0,3281,0.9445003188065281,0.9522200030726686,0.21686376900629703,35450
359,"false",0.5,7.0,5474.0,3419,0.9613919954062294,0.9670718572088014,0.20455594889949208,36372
377,"false",0.5,7.0,5474.0,3588,0.9684268800836853,0.9777604976671851,0.20670391061452514,36588
395,"false",0.5,7.0,5474.0,3534,0.9734047360714111,0.9816849816849816,0.19874923733984137,37470
18,"false",0.5,7.0,5474.0,2825,0.8436767621412115,0.8489142153087941,0.20539960116582298,31704
36,"false",0.5,7.0,5474.0,3291,0.9413859208909736,0.9513011718155532,0.2064192272588987,34938
54,"false",0.5,7.0,5474.0,3370,0.9622566358410708,0.9693118412895226,0.20209650069369509,35908
72,"false",0.5,7.0,5474.0,3412,0.9662611515339912,0.9762541280075484,0.20166876574307305,36588
90,"false",0.5,7.0,5474.0,3505,0.97365801064861,0.9795075456711676,0.21122059758423395,36854
108,"false",0.5,7.0,5474.0,1498,0.4665002556142427,0.46411483253588515,0.21291718170580964,13512
126,"false",0.5,7.0,5474.0,3158,0.904538800449709,0.914854517611026,0.20515179392824287,33924
144,"false",0.5,7.0,5474.0,3387,0.9528138385863955,0.9563737623762376,0.21501076591817903,35610
162,"false",0.5,7.0,5474.0,3419,0.9663953500769867,0.9679251074278699,0.20963521625365553,35784
180,"false",0.5,7.0,5474.0,3672,0.973568099615471,0.9758887171561051,0.2014188772362739,36832
198,"false",0.5,7.0,5474.0,3561,0.9740448596387019,0.9792307692307692,0.21363984674329503,37576
216,"false",0.5,7.0,5474.0,2510,0.779811955294346,0.7657418952618454,0.19860031104199066,27690
234,"false",0.5,7.0,5474.0,3186,0.9288004879090309,0.9412609736632083,0.2087123025370991,34608
252,"false",0.5,7.0,5474.0,3448,0.9546808184143007,0.9625668449197861,0.20993883792048929,36508
270,"false",0.5,7.0,5474.0,3532,0.9696080493551493,0.9719739433419179,0.20557491289198607,36916
288,"false",0.5,7.0,5474.0,3616,0.973002021153582,0.9772692366763938,0.2056606675896016,36556
306,"false",0.5,7.0,5474.0,869,0.2578395525288144,0.24532095901005413,0.19667805029493945,3508
324,"false",0.5,7.0,5474.0,2939,0.879615733370576,0.8781350977073396,0.21210727969348658,32712
342,"false",0.5,7.0,5474.0,3306,0.9479820328300218,0.9511341147815497,0.20587340231284237,35014
360,"false",0.5,7.0,5474.0,3366,0.9628450426344575,0.9705608924697862,0.20526315789473684,36100
378,"false",0.5,7.0,5474.0,3488,0.968418507902402,0.97483989021043,0.20277269957343083,37366
